DATE,FedInterestRate,Inflation,GDP,S&P500Close,UmemploymentRate,GovernmentDebtGDP,CorporateDebt,PoundDollar,DollarYen,SP5006monthslater
01/02/1985,8.5,0.035,4230.168,181.179993,0.072,0.40441,682669,1.0931,260.4778,190.919998
01/03/1985,8.58,0.037,4230.168,180.660004,0.072,0.40441,682669,1.1253,257.9205,188.630005
01/04/1985,8.27,0.037,4294.887,179.830002,0.073,0.4132,715218,1.2377,251.8455,182.080002
01/05/1985,7.97,0.038,4294.887,189.550003,0.072,0.4132,715218,1.2483,251.7295,189.820007
01/06/1985,7.53,0.038,4294.887,191.850006,0.074,0.4132,715218,1.2808,248.84,202.169998
01/07/1985,7.88,0.036,4386.773,190.919998,0.074,0.41559,739841,1.3807,241.1364,211.279999
01/08/1985,7.9,0.033,4386.773,188.630005,0.071,0.41559,739841,1.3841,237.4609,211.779999
01/09/1985,7.92,0.031,4386.773,182.080002,0.071,0.41559,739841,1.3642,236.5275,226.919998
01/10/1985,7.99,0.032,4444.094,189.820007,0.071,0.43787,777480,1.4215,214.6805,238.899994
01/11/1985,8.05,0.035,4444.094,202.169998,0.07,0.43787,777480,1.4396,204.0737,235.520004
01/12/1985,8.27,0.038,4444.094,211.279999,0.07,0.43787,777480,1.4447,202.7881,247.350006
01/01/1986,8.14,0.039,4507.894,211.779999,0.067,0.44074,807745,1.4244,199.8905,250.839996
01/02/1986,7.86,0.031,4507.894,226.919998,0.072,0.44074,807745,1.4297,184.8516,236.119995
01/03/1986,7.48,0.023,4507.894,238.899994,0.072,0.44074,807745,1.4674,178.6938,252.929993
01/04/1986,6.99,0.016,4545.34,235.520004,0.071,0.45307,842883,1.4985,175.0918,231.320007
01/05/1986,6.85,0.015,4545.34,247.350006,0.072,0.45307,842883,1.5211,167.0314,243.979996
01/06/1986,6.92,0.018,4545.34,250.839996,0.072,0.45307,842883,1.5085,167.5419,249.220001
01/07/1986,6.56,0.016,4607.669,236.119995,0.07,0.46125,874104,1.5071,158.6059,242.169998
01/08/1986,6.17,0.016,4607.669,252.929993,0.069,0.46125,874104,1.4861,154.1771,274.079987
01/09/1986,5.89,0.018,4607.669,231.320007,0.07,0.46125,874104,1.4698,154.7314,284.200012
01/10/1986,5.85,0.015,4657.627,243.979996,0.07,0.47553,885353,1.4264,156.4723,291.700012
01/11/1986,6.04,0.013,4657.627,249.220001,0.069,0.47553,885353,1.4238,162.8494,288.359985
01/12/1986,6.91,0.011,4657.627,242.169998,0.066,0.47553,885353,1.4393,162.0523,290.100006
01/01/1987,6.43,0.015,4722.156,274.079987,0.066,0.47578,911433,1.5054,154.8295,304
01/02/1987,6.1,0.021,4722.156,284.200012,0.066,0.47578,911433,1.528,153.4068,318.660004
01/03/1987,6.13,0.03,4722.156,291.700012,0.066,0.47578,911433,1.5923,151.4332,329.799988
01/04/1987,6.37,0.038,4806.16,288.359985,0.063,0.48049,932274,1.6313,142.8986,321.829987
01/05/1987,6.85,0.039,4806.16,290.100006,0.063,0.48049,932274,1.6666,140.479,251.789993
01/06/1987,6.73,0.037,4806.16,304,0.062,0.48049,932274,1.6288,144.5495,230.300003
01/07/1987,6.58,0.039,4884.555,318.660004,0.061,0.48117,952968,1.609,150.2939,247.080002
01/08/1987,6.73,0.043,4884.555,329.799988,0.06,0.48117,952968,1.5996,147.3343,257.070007
01/09/1987,7.22,0.044,4884.555,321.829987,0.059,0.48117,952968,1.6446,143.291,267.820007
01/10/1987,7.29,0.045,5007.994,251.789993,0.06,0.48557,974107,1.662,143.32,258.890015
01/11/1987,6.69,0.045,5007.994,230.300003,0.058,0.48557,974107,1.7754,135.3974,261.329987
01/12/1987,6.77,0.044,5007.994,247.080002,0.057,0.48557,974107,1.8288,128.2418,262.160004
01/01/1988,6.83,0.04,5073.372,257.070007,0.057,0.49032,998872,1.8009,127.6853,273.5
01/02/1988,6.58,0.039,5073.372,267.820007,0.057,0.49032,998872,1.7582,129.1665,272.019989
01/03/1988,6.58,0.039,5073.372,258.890015,0.057,0.49032,998872,1.833,127.1139,261.519989
01/04/1988,6.87,0.039,5190.036,261.329987,0.054,0.49087,1034690,1.8782,124.8976,271.910004
01/05/1988,7.09,0.039,5190.036,262.160004,0.056,0.49087,1034690,1.8695,124.7871,278.970001
01/06/1988,7.51,0.04,5190.036,273.5,0.054,0.49087,1034690,1.7768,127.4655,273.700012
01/07/1988,7.75,0.041,5282.835,272.019989,0.054,0.49257,1061889,1.7051,133.0215,277.720001
01/08/1988,8.01,0.04,5282.835,261.519989,0.056,0.49257,1061889,1.6965,133.7661,297.470001
01/09/1988,8.19,0.042,5282.835,271.910004,0.054,0.49257,1061889,1.684,134.3176,288.859985
01/10/1988,8.3,0.042,5399.509,278.970001,0.054,0.49715,1089317,1.7388,128.6805,294.869995
01/11/1988,8.35,0.042,5399.509,273.700012,0.053,0.49715,1089317,1.8085,123.202,309.640015
01/12/1988,8.76,0.044,5399.509,277.720001,0.053,0.49715,1089317,1.8258,123.6076,320.519989
01/01/1989,9.12,0.047,5511.253,297.470001,0.054,0.49733,1113576,1.7737,127.3625,317.980011
01/02/1989,9.36,0.048,5511.253,288.859985,0.052,0.49733,1113576,1.7534,127.7374,346.079987
01/03/1989,9.85,0.05,5511.253,294.869995,0.05,0.49733,1113576,1.7134,130.5504,351.450012
01/04/1989,9.84,0.051,5612.463,309.640015,0.052,0.49888,1148350,1.7008,132.0365,349.149994
01/05/1989,9.81,0.054,5612.463,320.519989,0.052,0.49888,1148350,1.6307,137.8636,340.359985
01/06/1989,9.53,0.052,5612.463,317.980011,0.053,0.49888,1148350,1.553,143.9809,345.98999
01/07/1989,9.24,0.05,5695.365,346.079987,0.052,0.50171,1166999,1.6268,140.424,353.399994
01/08/1989,8.99,0.047,5695.365,351.450012,0.052,0.50171,1166999,1.5947,141.4852,329.079987
01/09/1989,9.02,0.043,5695.365,349.149994,0.053,0.50171,1166999,1.5715,145.07,331.890015
01/10/1989,8.84,0.045,5747.237,340.359985,0.053,0.51381,1183681,1.5874,142.2067,339.940002
01/11/1989,8.55,0.047,5747.237,345.98999,0.054,0.51381,1183681,1.5726,143.5343,330.799988
01/12/1989,8.45,0.046,5747.237,353.399994,0.054,0.51381,1183681,1.5965,143.685,361.230011
01/01/1990,8.23,0.052,5872.701,329.079987,0.054,0.51969,1208939,1.6512,144.9819,358.019989
01/02/1990,8.24,0.053,5872.701,331.890015,0.053,0.51969,1208939,1.6961,145.6932,356.149994
01/03/1990,8.28,0.052,5872.701,339.940002,0.052,0.51969,1208939,1.6245,153.3082,322.559998
01/04/1990,8.26,0.047,5960.028,330.799988,0.054,0.52747,1228355,1.6372,158.4586,306.049988
01/05/1990,8.18,0.044,5960.028,361.230011,0.054,0.52747,1228355,1.6774,154.0441,304
01/06/1990,8.29,0.047,5960.028,358.019989,0.052,0.52747,1228355,1.7103,153.6957,322.220001
01/07/1990,8.15,0.048,6015.116,356.149994,0.055,0.53753,1238704,1.8098,149.0395,330.220001
01/08/1990,8.13,0.056,6015.116,322.559998,0.057,0.53753,1238704,1.9013,147.4609,343.929993
01/09/1990,8.2,0.062,6015.116,306.049988,0.059,0.53753,1238704,1.8794,138.4405,367.070007
01/10/1990,8.11,0.063,6004.733,304,0.059,0.56036,1240172,1.9456,129.5909,375.220001
01/11/1990,7.81,0.063,6004.733,322.220001,0.062,0.56036,1240172,1.9642,129.2155,375.339996
01/12/1990,7.31,0.061,6004.733,330.220001,0.063,0.56036,1240172,1.9219,133.889,389.829987
01/01/1991,6.91,0.057,6035.178,343.929993,0.064,0.57417,1262042,1.9346,133.6986,371.160004
01/02/1991,6.25,0.053,6035.178,367.070007,0.066,0.57417,1262042,1.9641,130.5358,387.809998
01/03/1991,6.12,0.049,6035.178,375.220001,0.068,0.57417,1262042,1.8214,137.3867,395.429993
01/04/1991,5.91,0.049,6126.862,375.339996,0.067,0.57746,1286441,1.7497,137.1127,387.859985
01/05/1991,5.78,0.05,6126.862,389.829987,0.069,0.57746,1286441,1.7238,138.2218,392.450012
01/06/1991,5.9,0.047,6126.862,371.160004,0.069,0.57746,1286441,1.6497,139.7475,375.220001
01/07/1991,5.82,0.044,6205.937,387.809998,0.068,0.59061,1294169,1.6513,137.83,417.089996
01/08/1991,5.66,0.038,6205.937,395.429993,0.069,0.59061,1294169,1.6841,136.8164,408.779999
01/09/1991,5.45,0.034,6205.937,387.859985,0.069,0.59061,1294169,1.7265,134.2995,412.700012
01/10/1991,5.21,0.029,6264.54,392.450012,0.07,0.60686,1299396,1.7231,130.7723,403.690002
01/11/1991,4.81,0.03,6264.54,375.220001,0.07,0.60686,1299396,1.7796,129.6321,414.950012
01/12/1991,4.43,0.031,6264.54,417.089996,0.073,0.60686,1299396,1.8272,128.0395,415.350006
01/01/1992,4.03,0.026,6363.102,408.779999,0.073,0.60997,1330818,1.809,125.4614,408.140015
01/02/1992,4.06,0.028,6363.102,412.700012,0.074,0.60997,1330818,1.7778,127.6989,424.209991
01/03/1992,3.98,0.032,6363.102,403.690002,0.074,0.60997,1330818,1.7238,132.8627,414.029999
01/04/1992,3.73,0.032,6470.763,414.950012,0.074,0.61579,1352584,1.7566,133.5395,417.799988
01/05/1992,3.82,0.03,6470.763,415.350006,0.076,0.61579,1352584,1.8095,130.771,418.679993
01/06/1992,3.76,0.031,6470.763,408.140015,0.078,0.61579,1352584,1.8551,126.8355,431.350006
01/07/1992,3.25,0.032,6566.641,424.209991,0.077,0.61898,1365248,1.9177,125.8817,435.709991
01/08/1992,3.3,0.031,6566.641,414.029999,0.076,0.61898,1365248,1.9434,126.231,438.779999
01/09/1992,3.22,0.03,6566.641,417.799988,0.076,0.61898,1365248,1.8465,122.5967,443.380005
