DATE,FedInterestRate,Inflation,GDP,S&P500Close,UmemploymentRate,GovernmentDebtGDP,CorporateDebt,PoundDollar,DollarYen,SP5006monthslater
01/06/1976,5.48,0.06,1852.332,104.279999,0.076,0.33495,284516,1.764,299.1909,102.099998
01/07/1976,5.31,0.054,1886.558,103.440002,0.078,0.33643,290157,1.785,294.641,107.459999
01/08/1976,5.29,0.057,1886.558,102.910004,0.078,0.33643,290157,1.7828,290.6259,102.029999
01/09/1976,5.25,0.055,1886.558,105.239998,0.076,0.33643,290157,1.7272,287.361,99.82
01/10/1976,5.02,0.055,1934.273,102.900002,0.077,0.33788,296826,1.6377,291.189,98.419998
01/11/1976,4.95,0.049,1934.273,102.099998,0.078,0.33788,296826,1.6381,295.1653,98.440002
01/12/1976,4.65,0.049,1934.273,107.459999,0.078,0.33788,296826,1.6784,294.7017,96.120003
01/01/1977,4.61,0.052,1988.648,102.029999,0.075,0.33651,306027,1.7124,291.0524,100.480003
01/02/1977,4.68,0.059,1988.648,99.82,0.076,0.33651,306027,1.7103,285.0221,98.849998
01/03/1977,4.69,0.064,1988.648,98.419998,0.074,0.33651,306027,1.7174,280.2265,96.769997
01/04/1977,4.73,0.07,2055.909,98.440002,0.072,0.32804,312705,1.719,275.2071,96.529999
01/05/1977,5.35,0.067,2055.909,96.120003,0.07,0.32804,312705,1.7185,277.4262,92.339996
01/06/1977,5.39,0.069,2055.909,100.480003,0.072,0.32804,312705,1.7191,272.8609,94.830002
01/07/1977,5.42,0.068,2118.473,98.849998,0.069,0.32988,320704,1.7226,264.8632,95.099998
01/08/1977,5.9,0.066,2118.473,96.769997,0.07,0.32988,320704,1.7397,266.6774,89.25
01/09/1977,6.14,0.066,2118.473,96.529999,0.068,0.32988,320704,1.7431,266.77,87.040001
01/10/1977,6.47,0.064,2164.27,92.339996,0.068,0.33219,329676,1.7711,254.7445,89.209999
01/11/1977,6.51,0.067,2164.27,94.830002,0.068,0.33219,329676,1.8178,244.7026,96.830002
01/12/1977,6.56,0.067,2164.27,95.099998,0.064,0.33219,329676,1.8546,241.0229,97.239998
01/01/1978,6.7,0.068,2202.76,89.25,0.064,0.33501,336357,1.9353,241.081,95.529999
01/02/1978,6.78,0.064,2202.76,87.040001,0.063,0.33501,336357,1.9396,240.3722,100.68
01/03/1978,6.79,0.066,2202.76,89.209999,0.063,0.33501,336357,1.9055,231.8574,103.290001
01/04/1978,6.89,0.065,2331.633,96.830002,0.061,0.32124,345610,1.8497,221.857,102.540001
01/05/1978,7.36,0.07,2331.633,97.239998,0.06,0.32124,345610,1.8181,226.1786,93.150002
01/06/1978,7.6,0.074,2331.633,95.529999,0.059,0.32124,345610,1.8372,214.1064,94.699997
01/07/1978,7.81,0.077,2395.053,100.68,0.062,0.32214,353531,1.8949,199.6955,96.110001
01/08/1978,8.04,0.078,2395.053,103.290001,0.059,0.32214,353531,1.9406,188.7096,99.93
01/09/1978,8.45,0.083,2395.053,102.540001,0.06,0.32214,353531,1.9595,189.9195,96.279999
01/10/1978,8.96,0.089,2476.949,93.150002,0.058,0.31862,361147,2.0075,183.631,101.589996
01/11/1978,9.76,0.089,2476.949,94.699997,0.059,0.31862,361147,1.9608,192.1425,101.760002
01/12/1978,10.03,0.09,2476.949,96.110001,0.06,0.31862,361147,1.9861,195.955,99.080002
01/01/1979,10.07,0.093,2526.61,99.93,0.059,0.31536,370006,2.0053,197.755,102.910004
01/02/1979,10.06,0.099,2526.61,96.279999,0.059,0.31536,370006,2.0042,200.5072,103.809998
01/03/1979,10.09,0.101,2526.61,101.589996,0.058,0.31536,370006,2.0378,206.3236,109.32
01/04/1979,10.01,0.105,2591.247,101.760002,0.058,0.31063,380512,2.0735,216.2852,109.32
01/05/1979,10.24,0.109,2591.247,99.080002,0.056,0.31063,380512,2.0587,218.4141,101.82
01/06/1979,10.29,0.109,2591.247,102.910004,0.057,0.31063,380512,2.1119,218.5967,106.160004
01/07/1979,10.47,0.113,2667.565,103.809998,0.057,0.30984,390286,2.2598,216.51,107.940002
01/08/1979,10.94,0.118,2667.565,109.32,0.06,0.30984,390286,2.2368,217.9257,114.160004
01/09/1979,11.43,0.122,2667.565,109.32,0.059,0.30984,390286,2.1966,222.4137,113.660004
01/10/1979,13.77,0.121,2723.883,101.82,0.06,0.31026,397461,2.1438,230.4845,102.089996
01/11/1979,13.18,0.126,2723.883,106.160004,0.059,0.31026,397461,2.1352,244.9842,106.290001
01/12/1979,13.78,0.133,2723.883,107.940002,0.06,0.31026,397461,2.2007,240.3745,111.239998
01/01/1980,13.82,0.139,2789.842,114.160004,0.063,0.3095,412059,2.2641,237.8886,114.239998
01/02/1980,14.13,0.142,2789.842,113.660004,0.063,0.3095,412059,2.2891,244.35,121.669998
01/03/1980,17.19,0.148,2789.842,102.089996,0.063,0.3095,412059,2.2045,248.4786,122.379997
01/04/1980,17.61,0.147,2797.352,106.290001,0.069,0.31373,431388,2.2094,250.275,125.459999
01/05/1980,10.98,0.144,2797.352,111.239998,0.075,0.31373,431388,2.302,228.6286,127.470001
01/06/1980,9.47,0.144,2797.352,114.239998,0.076,0.31373,431388,2.3359,217.9176,140.520004
01/07/1980,9.03,0.131,2856.483,121.669998,0.078,0.31777,437306,2.3732,221.1364,135.759995
01/08/1980,9.61,0.129,2856.483,122.379997,0.077,0.31777,437306,2.3704,223.9138,129.550003
01/09/1980,10.87,0.126,2856.483,125.459999,0.075,0.31777,437306,2.4012,214.4167,131.270004
01/10/1980,12.81,0.128,2985.557,127.470001,0.075,0.31157,439488,2.4165,209.3227,136
01/11/1980,15.85,0.126,2985.557,140.520004,0.075,0.31157,439488,2.3941,213.1059,132.809998
01/12/1980,18.9,0.125,2985.557,135.759995,0.072,0.31157,439488,2.3459,209.4886,132.589996
01/01/1981,19.08,0.118,3124.206,129.550003,0.075,0.30873,452370,2.4029,202.3667,131.210007
01/02/1981,15.93,0.114,3124.206,131.270004,0.074,0.30873,452370,2.2941,205.7167,130.919998
